"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.498206360E0,2.232092023E-1,1.098510265E0,-2.288722992E-2
1.503236673E0,1.924482584E-1,1.092189789E0,8.715629578E-2
1.508266985E0,1.397665739E-1,1.034979820E0,1.493759155E-1
1.513297298E0,5.847436190E-2,1.017519951E0,2.022438049E-1
1.518327610E0,-2.956354618E-2,1.013120174E0,3.247194290E-1
1.523357923E0,-1.437255740E-1,1.004721642E0,4.857406616E-1
1.528366620E0,-2.155451179E-1,1.054068565E0,5.828056335E-1
1.533396933E0,-3.504774272E-1,1.082068443E0,6.520338058E-1
1.538427245E0,-4.436620176E-1,1.134325504E0,6.480998993E-1
1.543457558E0,-4.835807681E-1,1.138957024E0,6.955308914E-1
1.548487870E0,-5.421190262E-1,1.167504311E0,7.823667526E-1
1.553518131E0,-5.768144131E-1,1.170070648E0,8.415002823E-1
1.558555787E0,-6.097572446E-1,1.249246597E0,8.827133179E-1
1.563586100E0,-6.460105181E-1,1.313995838E0,8.918027878E-1
1.568616412E0,-6.718328595E-1,1.362100601E0,9.763002396E-1
1.573646725E0,-6.616718173E-1,1.400954247E0,1.054737091E0
1.578677037E0,-6.375367045E-1,1.399750710E0,1.124662399E0
1.583707298E0,-6.023043990E-1,1.342219353E0,1.147760391E0
1.588759537E0,-5.893009901E-1,1.281414032E0,1.138300896E0
1.593789850E0,-5.670971274E-1,1.186958790E0,1.091203690E0
1.598820162E0,-5.469097495E-1,1.111761570E0,1.063681602E0
1.603850475E0,-5.186359286E-1,1.044262409E0,1.136548042E0
1.608880787E0,-5.035284758E-1,1.034827232E0,1.225736618E0
1.613911100E0,-5.034557581E-1,1.071827888E0,1.206681252E0
1.618941985E0,-5.393112898E-1,1.105448723E0,1.191612244E0
1.623972298E0,-5.694392920E-1,1.107381821E0,1.182608604E0
1.629002610E0,-5.763838887E-1,1.063504219E0,1.308453560E0
1.634032923E0,-5.337883830E-1,1.019291401E0,1.497082710E0
1.639063235E0,-4.920693040E-1,9.291868210E-1,1.643342972E0
1.644093548E0,-4.199746847E-1,8.478469849E-1,1.707007408E0
1.649089954E0,-3.577744663E-1,7.723836899E-1,1.772171021E0
1.654120266E0,-2.815072536E-1,6.357059479E-1,1.841342926E0
1.659150579E0,-2.128569782E-1,5.401320457E-1,1.965024948E0
1.664180891E0,-1.619108319E-1,4.089775085E-1,2.081093788E0
1.669211204E0,-1.362633109E-1,2.924036980E-1,2.227888107E0
1.674241464E0,-1.435896158E-1,2.046489716E-1,2.274046898E0
1.679275787E0,-1.768880785E-1,9.046649933E-2,2.203330040E0
1.684306100E0,-2.384316623E-1,-2.386617661E-2,2.152260780E0
1.689336412E0,-2.685705721E-1,-1.073899269E-1,2.170998573E0
1.694366725E0,-3.105573952E-1,-2.080173492E-1,2.204449654E0
1.699396985E0,-3.763884902E-1,-3.135280609E-1,2.197502136E0
1.704427298E0,-4.663518071E-1,-4.332709312E-1,2.183620453E0
1.709525579E0,-4.873746634E-1,-5.028810501E-1,2.141438484E0
1.714555891E0,-5.303769112E-1,-6.058664322E-1,1.989685059E0
1.719586204E0,-5.826870799E-1,-7.205147743E-1,1.821710587E0
1.724616516E0,-5.843303204E-1,-8.682599068E-1,1.704399109E0
1.729646829E0,-6.263206601E-1,-9.940681458E-1,1.651931763E0
1.734677089E0,-7.115834951E-1,-1.097841740E0,1.597178459E0
1.739644120E0,-8.191884756E-1,-1.146082401E0,1.509054184E0
1.744674433E0,-9.232076406E-1,-1.160504341E0,1.464140892E0
1.749704693E0,-9.903910160E-1,-1.090694427E0,1.347443581E0
1.754735058E0,-1.035021067E0,-1.061586380E0,1.274116516E0
1.759765370E0,-1.025522113E0,-1.047101021E0,1.194037437E0
1.764795631E0,-9.996050596E-1,-1.001910210E0,1.088138580E0
1.769824693E0,-9.278178215E-1,-1.033832073E0,9.613800049E-1
1.774855006E0,-8.261517286E-1,-1.076533794E0,8.094940186E-1
1.779885318E0,-7.395446301E-1,-1.151548386E0,7.233362198E-1
1.784915631E0,-6.586374044E-1,-1.151721954E0,7.483978271E-1
1.789945943E0,-6.102948189E-1,-1.182396412E0,7.243871689E-1
1.794976256E0,-6.043376327E-1,-1.164766312E0,6.563243866E-1
1.800007506E0,-6.650041342E-1,-1.154224396E0,4.872570038E-1
1.805037818E0,-6.965240240E-1,-1.105355740E0,3.584127426E-1
1.810068131E0,-7.039575577E-1,-1.089743137E0,2.624225616E-1
1.815098443E0,-7.739108801E-1,-1.107048988E0,1.799697876E-1
1.820128756E0,-7.991076708E-1,-1.121026993E0,8.217334747E-2
1.825159016E0,-8.422139883E-1,-1.100362301E0,1.909446716E-2
1.830194850E0,-9.105139971E-1,-1.076004505E0,-7.636547089E-2
1.835225162E0,-9.659466147E-1,-1.038065434E0,-1.469964981E-1
1.840255475E0,-1.034943461E0,-1.017394066E0,-1.619663239E-1
1.845285787E0,-1.043878555E0,-1.035212040E0,-1.502332687E-1
1.850316100E0,-1.052940726E0,-1.038537502E0,-1.909065247E-1
