"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.029837405E2,6.502274151E1,2.548953596E1,6.494680926E0,1.110000014E0,2.786000061E2,3.790092468E0,2.500000000E0
2.039830116E2,6.502274245E1,2.548950959E1,6.512866968E0,1.230000019E0,2.783999939E2,3.790092468E0,2.500000000E0
2.049879014E2,6.502274336E1,2.548947991E1,6.654954126E0,1.320000052E0,2.762999878E2,3.790092468E0,2.500000000E0
2.059708812E2,6.502274513E1,2.548945003E1,6.546430604E0,1.340000033E0,2.808999939E2,3.790092468E0,2.500000000E0
2.069697966E2,6.502274496E1,2.548942017E1,6.907085033E0,1.399999976E0,2.806000061E2,3.790092468E0,2.500000000E0
2.079708626E2,6.502274680E1,2.548938930E1,6.857460333E0,1.379999995E0,2.811000061E2,3.790092468E0,2.500000000E0
2.089847110E2,6.502274834E1,2.548935757E1,6.974705790E0,1.399999976E0,2.767000122E2,3.790092468E0,2.500000000E0
2.099837440E2,6.502274939E1,2.548932639E1,7.129976371E0,1.389999986E0,2.731000061E2,3.790092468E0,2.500000000E0
2.109809527E2,6.502275082E1,2.548929664E1,7.119414409E0,1.370000005E0,2.767999878E2,3.790092468E0,2.500000000E0
2.119702886E2,6.502275238E1,2.548927092E1,6.886745785E0,1.379999995E0,2.778999939E2,3.790092468E0,2.500000000E0
